x;y
-0.927703559;-0.117286269
0.168640205;0.650665962
-0.450921073;-0.863394058
0.047345544;-0.489910295
0.251071997;-0.197867607
-0.511711892;-0.865731405
0.069100797;-0.049770629
-0.944098488;0.001536288
-0.822005375;-0.557665778
-0.858353284;-0.023561055
0.539420319;-0.064645525
0.609684928;-0.957684164
-0.94393987;-0.412718019
0.662108588;-0.704760272
-0.675839629;-0.296869498
-0.79300566;-0.943850672
-0.178000797;-0.249757004
0.408272415;0.452986387
-0.88028336;0.497227264
-0.508734395;0.706527398
0.014657561;-0.750594644
-0.373032616;-0.258500888
0.425850589;-0.593877231
-0.484787712;-0.50456104
-0.151973422;0.771750254
0.256541723;0.882349081
-0.02201842;0.870030431
-0.24013655;0.494026183
0.945457663;-0.932802522
-0.664342008;-0.199426936
0.551047126;0.078849889
-0.15745576;-0.14803821
-0.164706357;-0.247059415
0.617930945;0.123542551
-0.604018426;0.092624844
-0.587316667;0.018496623
-0.815723875;-0.615425812
-0.415573507;0.041734906
0.979718638;0.863400862
0.651271783;-0.898571287
-0.172645916;0.348167778
-0.325981034;0.894364684
-0.698279491;-0.764716115
0.932312193;0.482758889
-0.475878139;0.396049794
-0.50873196;-0.591217277
-0.762072761;0.639667126
0.931785988;-0.122004297
-0.628755762;0.271690307
-0.537367853;0.381299999
0.740271273;0.86604409
-0.14180197;-0.972767404
-0.275439775;-0.023434854
-0.343312477;-0.618592008
0.618630744;-0.160902685
-0.87476132;-0.015611045
-0.117266537;-0.800920154
0.773051325;-0.794572685
-0.267210808;-0.808086129
-0.500211809;-0.406634241
0.847051941;0.115437791
-0.17463241;0.571695624
-0.402901492;-0.658342621
-0.140888914;-0.285618507
-0.55883941;-0.14626648
-0.655085789;0.580177984
0.541578373;-0.410277007
0.212543038;0.842632009
0.531806382;-0.416223878
-0.182528483;-0.083763334
-0.50816243;-0.373673871
-0.007713795;-0.885653319
-0.1077098;-0.867572452
0.088082358;0.210123907
-0.154560943;-0.564534399
0.527147131;0.380420662
-0.518095453;0.783977229
0.038821419;0.332320521
0.298965366;-0.639331216
-0.114425272;-0.309080019
-0.377796154;0.360480507
0.175794537;-0.197662263
0.886771312;0.874943998
0.891468521;0.405478037
0.161145161;0.8809886
0.889178798;-0.434286138
-0.754155184;0.263250309
